Date,Local_Passenger_Vehicles,Export_Sales_Passenger_Vehicles,Local_Light_Commercial_Vehicles,Export_Sales_Light_Commercial_Vehicles,Local_Medium_Commercial_Vehicles,Export_Sales_Medium_Commercial_Vehicles,Local_Heavy_Commercial_Vehicles,Export_Sales_Heavy_Commercial_Vehicles,Local_Extra_Heavy_Commercial_Vehicles,Export_Sales_Extra_Heavy_Commercial_Vehicles,Local_Bus_Sales,Export_Sales_Buses,Total_Local Sales,Total_Export_Sales
2020/12/31,24784.0,11003.0,10801.0,7434.0,537.0,7.0,338.0,3.0,933.0,22.0,100.0,10.0,37493.0,18479.0
2021/01/31,23853.0,17004.0,9301.0,5738.0,497.0,6.0,223.0,15.0,831.0,8.0,79.0,0.0,34784.0,22771.0
2021/02/28,24270.0,19194.0,11246.0,10328.0,560.0,7.0,338.0,11.0,1059.0,42.0,48.0,0.0,37521.0,29582.0
2021/03/31,27330.0,20431.0,14375.0,19545.0,705.0,9.0,521.0,1.0,1235.0,40.0,51.0,0.0,44217.0,40026.0
2021/04/30,22911.0,17378.0,10879.0,9079.0,511.0,14.0,344.0,21.0,1097.0,30.0,37.0,0.0,35779.0,26522.0
2021/05/31,24122.0,19294.0,11930.0,16009.0,559.0,14.0,479.0,1.0,1215.0,7.0,32.0,1.0,38337.0,35326.0
2021/06/30,24482.0,14653.0,11208.0,13679.0,687.0,5.0,478.0,21.0,1116.0,21.0,59.0,5.0,38030.0,28384.0
2021/07/31,20575.0,8544.0,10266.0,8358.0,587.0,7.0,385.0,6.0,1076.0,14.0,60.0,2.0,32949.0,16931.0
2021/08/31,27157.0,11888.0,11749.0,7505.0,719.0,13.0,476.0,18.0,1279.0,18.0,45.0,4.0,41425.0,19446.0
2021/09/30,29538.0,6009.0,10943.0,6128.0,762.0,9.0,459.0,24.0,1355.0,29.0,73.0,3.0,43130.0,12202.0
2021/10/31,27496.0,11995.0,11188.0,11650.0,576.0,10.0,449.0,16.0,1277.0,11.0,49.0,3.0,41035.0,23685.0
2021/11/30,27828.0,10775.0,11156.0,8706.0,779.0,11.0,473.0,27.0,1295.0,28.0,57.0,1.0,41588.0,19548.0
2021/12/31,24949.0,9778.0,8990.0,11589.0,630.0,9.0,352.0,28.0,958.0,25.0,69.0,1.0,35948.0,21430.0
2022/01/31,30037.0,10404.0,9629.0,8652.0,465.0,7.0,329.0,13.0,907.0,11.0,15.0,2.0,41382.0,19089.0
2022/02/28,29563.0,22250.0,12290.0,10589.0,572.0,8.0,530.0,14.0,1242.0,6.0,32.0,0.0,44229.0,32867.0
2022/03/31,33790.0,22936.0,13975.0,11254.0,798.0,18.0,546.0,20.0,1449.0,56.0,49.0,1.0,50607.0,34285.0
2022/04/30,25653.0,21512.0,9558.0,9179.0,475.0,8.0,456.0,26.0,931.0,54.0,34.0,9.0,37107.0,30788.0
2022/05/31,27437.0,19155.0,9221.0,6582.0,614.0,2.0,536.0,22.0,1314.0,12.0,55.0,13.0,39177.0,25786.0
2022/06/30,29545.0,23745.0,8877.0,9194.0,697.0,57.0,560.0,33.0,1263.0,10.0,77.0,15.0,41019.0,33054.0
2022/07/31,31455.0,23479.0,9547.0,7670.0,790.0,21.0,471.0,50.0,1281.0,18.0,49.0,4.0,43593.0,31242.0
2022/08/31,31269.0,17622.0,13281.0,10981.0,715.0,10.0,558.0,25.0,1516.0,21.0,81.0,3.0,47420.0,28662.0
2022/09/30,32392.0,23680.0,12573.0,17691.0,882.0,17.0,490.0,56.0,1367.0,27.0,82.0,3.0,47786.0,41474.0
2022/10/31,30597.0,18023.0,12738.0,11373.0,769.0,43.0,523.0,35.0,1285.0,32.0,54.0,2.0,45966.0,29508.0
2022/11/30,32859.0,23522.0,13477.0,10710.0,900.0,32.0,546.0,13.0,1551.0,33.0,80.0,0.0,49413.0,34310.0
2022/12/31,28793.0,16844.0,10438.0,9406.0,865.0,15.0,417.0,11.0,1198.0,26.0,72.0,0.0,41783.0,26302.0
2023/01/31,31072.0,11227.0,10622.0,9243.0,461.0,5.0,331.0,28.0,976.0,29.0,47.0,4.0,43509.0,20536.0
2023/02/28,29976.0,20079.0,12972.0,10244.0,697.0,33.0,435.0,8.0,1244.0,40.0,28.0,5.0,45352.0,30409.0
