Date;General dealers;food, beverages and tobacco;pharmaceutical and medical goods,cosmetics and toiletries;textiles,clothing,footwear and leather goods;household furniture,appliances and equipment;hardware,paint and glass;All other retailers;;
2005/01/31;10806;2336;1505;4019;2285;2322;4087;;
2005/02/28;10652;2347;1563;3613;2221;2549;4126;;
2005/03/31;11481;2570;1579;3876;2371;2444;4600;;
2005/04/30;10726;2525;1781;4849;2454;2618;4420;;
2005/05/31;10948;2365;1850;5066;2505;2844;4563;;
2005/06/30;11102;2422;1745;4063;2745;2957;4498;;k\
2005/07/31;11161;2555;1592;4375;2832;2960;4473;;
2005/08/31;11221;2451;1719;4349;2811;3141;4774;;
2005/09/30;12061;2555;1591;4398;2979;3392;4127;;
2005/10/31;12074;2558;1659;4950;3155;3611;4960;;
2005/11/30;12618;2666;1618;5030;3767;3824;5244;;
2005/12/31;17083;3855;1633;8760;5605;3134;5968;;
2006/01/31;11840;2500;1652;4452;2628;2881;4697;;
2006/02/28;12052;2537;1659;4154;2656;3297;5037;;
2006/03/31;12893;2753;1689;4511;2819;3480;5235;;
2006/04/30;12780;2747;1692;5552;2863;3292;4796;;
2006/05/31;12943;2681;1882;5672;3039;3681;4918;;
2006/06/30;13182;2762;1946;4621;3134;3751;4670;;
2006/07/31;12985;2855;1716;5230;3234;3847;4993;;
2006/08/31;13409;2862;1856;4646;3389;3883;5239;;
2006/09/30;14335;3197;1897;4964;3330;4073;5457;;
2006/10/31;13723;2990;1923;5288;3613;4248;5889;;
2006/11/30;14531;3113;1918;5909;4439;4601;6379;;
2006/12/31;19378;4147;1856;9378;6030;3809;7049;;
2007/01/31;13390;2840;1914;5045;3239;3529;5604;;
2007/02/28;13581;2757;1924;4642;2930;3989;5695;;
2007/03/31;15186;3151;2062;4996;3207;4202;6059;;
2007/04/30;14842;3193;1937;5975;3181;3747;5663;;
2007/05/31;15338;3107;2132;5979;3427;4227;6002;;
2007/06/30;15718;3075;2039;5352;2768;4207;5777;;
2007/07/31;15002;3105;2080;5461;3041;4288;6120;;
2007/08/31;15557;3156;2127;5272;3133;4479;6152;;
2007/09/30;16189;3168;1976;5577;3029;4461;6097;;
2007/10/31;15459;3201;2186;5820;3377;4741;6742;;
2007/11/30;16588;3243;2266;6505;3877;4952;7000;;
2007/12/31;22474;4594;2237;10525;5151;3875;7653;;
2008/01/31;15609;2927;2230;5653;3045;3724;6323;;
2008/02/29;15891;3076;2370;5406;2759;4539;6696;;
2008/03/31;17773;3457;2364;5738;2837;4525;6374;;
2008/04/30;16598;3294;2350;6827;2879;4714;6865;;
2008/05/31;17095;3391;2365;6743;2942;4796;6468;;
2008/06/30;17948;3213;2342;6246;3074;4822;6261;;
2008/07/31;16685;3297;2565;6259;3048;4730;6976;;
2008/08/31;17380;3490;2444;6183;2998;4872;6914;;
2008/09/30;18507;3558;2461;5807;2776;4795;6806;;
2008/10/31;18109;3903;2499;6700;3178;5174;7484;;
2008/11/30;18812;3873;2534;7667;3515;5210;7378;;
2008/12/31;25421;5325;2658;11677;4761;4614;9126;;
2009/01/31;18156;3530;2490;6279;2960;4000;6984;;
2009/02/28;17905;3374;2414;5706;2738;4239;7239;;
2009/03/31;19660;3595;2810;5664;2700;4423;7248;;
2009/04/30;18302;3795;2716;7122;2714;4002;6658;;
2009/05/31;18672;3790;2748;7407;2876;4434;6872;;
2009/06/30;19075;3617;2876;6154;2895;4354;6539;;
2009/07/31;18685;3685;2907;6664;2969;4563;6901;;
2009/08/31;18990;3767;2908;6331;2775;4086;6849;;
2009/09/30;20010;3688;2825;6158;2840;4225;6749;;
2009/10/31;19326;3917;2870;7063;3013;4565;7249;;
2009/11/30;20201;3929;2885;7402;3406;4305;7237;;
2009/12/31;27057;5537;2989;12085;4881;4527;8525;;
2010/01/31;19204;3673;2905;7076;3018;3526;7149;;
2010/02/28;19127;3534;2826;6215;2834;3860;7056;;
2010/03/31;20794;4063;3206;6374;2887;4263;7191;;
2010/04/30;19512;3915;3198;7730;3109;3923;6549;;
2010/05/31;19954;4000;3169;7732;3199;4649;6802;;
2010/06/30;21276;3814;3103;6938;3212;4398;6946;;
2010/07/31;21012;3926;3413;7363;3223;4521;7249;;
2010/08/31;20012;3767;3105;6663;3151;4579;6986;;
2010/09/30;21266;3867;3182;6676;3152;4384;7067;;
2010/10/31;20629;4003;3423;7652;3355;4762;7622;;
2010/11/30;21548;3991;3370;8287;3908;5053;7806;;
2010/12/31;29339;5874;3847;12710;5477;5092;9246;;
2011/01/31;20496;3704;3435;7498;3183;4260;7566;;
2011/02/28;20421;3626;3181;6538;2871;4712;7368;;
2011/03/31;22715;3971;3425;6570;3023;4759;7600;;
2011/04/30;21924;4291;3560;8992;3288;4357;7203;;
2011/05/31;21733;3834;3396;7588;3250;4600;7174;;
2011/06/30;22765;3898;3395;7239;3305;4697;7003;;
2011/07/31;22094;4169;3649;8020;3466;5058;7314;;
2011/08/31;22294;4081;3390;7224;3479;4993;7994;;
2011/09/30;23856;4113;3446;7260;3386;5156;8053;;
2011/10/31;23043;4540;3634;8836;3740;5613;8255;;
2011/11/30;24283;4490;3589;9301;4121;5945;8252;;
2011/12/31;33797;6661;4084;14637;5646;5467;10450;;
2012/01/31;22992;4217;3675;7783;3256;4617;7901;;
2012/02/29;23387;4113;3326;6966;3032;5138;8143;;
2012/03/31;25447;4515;3692;7663;3275;5016;8279;;
2012/04/30;23683;4456;3762;9392;3107;4925;7481;;
2012/05/31;23655;4262;3719;8636;3367;5411;7754;;
2012/06/30;25563;4410;3761;8797;3477;5278;7771;;
2012/07/31;23726;4320;4003;8398;3444;5369;8214;;
2012/08/31;24401;4508;3729;8754;3675;5887;8156;;
2012/09/30;26429;4743;3604;8145;3476;5744;8008;;
2012/10/31;24620;4808;3841;9108;3887;6059;8681;;
2012/11/30;25544;5112;3704;10365;4437;6607;9208;;
